Job Title,Experience Level,Location,Key Technologies,Job Description
Frontend Developer,Senior,Bali,"HTML, Vue.js, React",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
QA Engineer,Senior,Bali,"Selenium, Cypress, Postman",Menulis dan menjalankan skrip pengujian untuk memastikan kualitas perangkat lunak.
UI/UX Designer,Junior,Bandung,"InVision, Photoshop, Sketch",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
Mobile Developer,Junior,Bali,"Swift, React Native, Dart",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
Backend Developer,Mid,Remote,"Go, Node.js, Python",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Product Manager,Mid,Jakarta,"JIRA, Agile, Scrum",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
Machine Learning Engineer,Junior,Yogyakarta,"MLflow, PyTorch, Python",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Machine Learning Engineer,Junior,Remote,"MLflow, Python, scikit-learn",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Product Manager,Senior,Yogyakarta,"Confluence, JIRA, User Research",Mengelola siklus hidup produk dari perencanaan hingga peluncuran.
DevOps Engineer,Senior,Bali,"Kubernetes, Docker, AWS",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Machine Learning Engineer,Lead,Surabaya,"MLflow, PyTorch, scikit-learn",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Machine Learning Engineer,Mid,Remote,"scikit-learn, MLflow, PyTorch",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
Data Scientist,Mid,Jakarta,"Scikit-learn, Python, TensorFlow",Menganalisis data dan membangun model prediktif untuk mendukung pengambilan keputusan.
Backend Developer,Junior,Bandung,"SQL, Python, Go",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Backend Developer,Lead,Bali,"Python, Java, SQL",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Mobile Developer,Junior,Remote,"React Native, Swift, Flutter",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
DevOps Engineer,Mid,Bandung,"AWS, Kubernetes, Docker",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Mobile Developer,Lead,Jakarta,"Swift, Dart, React Native",Mengembangkan aplikasi seluler untuk platform iOS dan Android.
UI/UX Designer,Mid,Yogyakarta,"Figma, Sketch, Adobe XD",Merancang pengalaman pengguna dan antarmuka visual untuk aplikasi digital.
DevOps Engineer,Lead,Bali,"Terraform, Linux, Kubernetes",Mengelola infrastruktur TI dan menerapkan otomatisasi untuk pengiriman perangkat lunak.
Frontend Developer,Mid,Surabaya,"JavaScript, CSS, Vue.js",Membangun antarmuka pengguna untuk aplikasi web menggunakan teknologi modern.
Backend Developer,Lead,Jakarta,"Java, Node.js, SQL",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Cloud Architect,Senior,Yogyakarta,"Ansible, CloudFormation, GCP",Merancang solusi arsitektur cloud yang skalabel dan aman.
Backend Developer,Junior,Remote,"Python, Node.js, SQL",Mengembangkan dan memelihara logika server dan database untuk aplikasi web.
Machine Learning Engineer,Junior,Bandung,"Python, MLflow, PyTorch",Membangun dan mengimplementasikan model machine learning dalam aplikasi produksi.
